symbol,ts,year,ret1,vol_ratio,entry,REF_status,REF_close_ret,REF_tp_hit,A_status,A_close_ret,A_tp_hit,B_status,B_close_ret,B_tp_hit
OP/USDT,2022-06-12 01:00:00+00:00,2022,-7.65,1.67,0.712,win,5.0,TP1,loss,-3.0,,loss,-4.0,
OP/USDT,2022-07-20 07:00:00+00:00,2022,-7.46,1.99,0.769,expired,-10.66,,loss,-3.0,,loss,-4.0,
OP/USDT,2022-08-01 17:00:00+00:00,2022,-7.51,2.81,1.454,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
OP/USDT,2022-11-09 21:00:00+00:00,2022,-9.55,1.62,0.786,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
OP/USDT,2024-03-05 19:00:00+00:00,2024,-9.08,1.51,3.986,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
OP/USDT,2024-04-13 19:00:00+00:00,2024,-7.95,2.82,2.073,win,5.0,TP1,loss,-3.0,,loss,-4.0,
INJ/USDT,2022-01-22 09:00:00+00:00,2022,-7.92,1.98,4.335,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
INJ/USDT,2022-05-11 12:00:00+00:00,2022,-13.43,2.5,2.294,win,5.0,TP1,win,15.0,TP3,win,8.0,TP1
INJ/USDT,2022-09-13 15:00:00+00:00,2022,-7.53,1.55,1.718,expired,-1.05,,loss,-3.0,,loss,-4.0,
INJ/USDT,2022-11-08 03:00:00+00:00,2022,-7.95,2.7,2.431,expired,-22.13,,loss,-3.0,,loss,-4.0,
INJ/USDT,2022-11-08 17:00:00+00:00,2022,-10.91,2.43,2.172,expired,-28.59,,loss,-3.0,,loss,-4.0,
INJ/USDT,2022-11-14 00:00:00+00:00,2022,-7.84,2.2,1.67,win,5.0,TP1,win,5.0,TP1,expired,3.29,
INJ/USDT,2023-01-25 15:00:00+00:00,2023,-8.89,2.79,2.224,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
INJ/USDT,2024-04-13 19:00:00+00:00,2024,-9.96,2.67,22.87,win,5.0,TP1,loss,-3.0,,loss,-4.0,
INJ/USDT,2024-07-05 02:00:00+00:00,2024,-7.97,2.58,17.55,win,5.0,TP1,loss,-3.0,,loss,-4.0,
INJ/USDT,2024-12-20 08:00:00+00:00,2024,-7.15,2.33,20.26,win,5.0,TP1,win,15.0,TP3,win,8.0,TP1
SHIB/USDT,2022-11-09 21:00:00+00:00,2022,-10.32,2.4,8e-06,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
SHIB/USDT,2024-03-05 04:00:00+00:00,2024,-13.01,1.57,3.8e-05,win,5.0,TP1,loss,-3.0,,loss,-4.0,
SHIB/USDT,2024-04-13 19:00:00+00:00,2024,-8.57,2.41,2.2e-05,win,5.0,TP1,loss,-3.0,,loss,-4.0,
