version,period,entry_ts,symbol,ret,kind,p10
V16,TRAIN,2026-07-03 16:29:59.999000072+00:00,APTUSDT,3.8,TARGET,0.4792725206483971
V16,TRAIN,2026-07-04 00:14:59.999000072+00:00,ATOMUSDT,-0.5740648379052413,TIME,0.48874564861049297
V16,TRAIN,2026-07-04 20:14:59.999000072+00:00,BCHUSDT,2.741176470588247,TIME,0.49781716633902184
V16,TRAIN,2026-07-05 12:14:59.999000072+00:00,WLDUSDT,-2.2,STOP,0.45923658647703247
V16,TRAIN,2026-07-05 16:14:59.999000072+00:00,ATOMUSDT,1.0156110044785784,TIME,0.4452307040457565
V16,TRAIN,2026-07-08 08:14:59.999000072+00:00,WLDUSDT,-2.2,STOP,0.45752544003740836
V16,TRAIN,2026-07-08 12:14:59.999000072+00:00,ENJUSDT,-0.8440071556350623,RESCUE,0.4462855630483611
V16,TRAIN,2026-07-08 16:29:59.999000072+00:00,ENJUSDT,3.8,TARGET,0.6161464229541553
V16,TRAIN,2026-07-09 00:14:59.999000072+00:00,EDUUSDT,3.8,TARGET,0.55976644778313
V16,TRAIN,2026-07-09 12:14:59.999000072+00:00,BCHUSDT,0.30590219224284637,TIME,0.45776873731296785
V16,TRAIN,2026-07-10 00:14:59.999000072+00:00,AAVEUSDT,3.8,TARGET,0.4716393277875293
V16,TRAIN,2026-07-10 16:14:59.999000072+00:00,ENJUSDT,3.8,TARGET,0.4459664293317924
V16,TRAIN,2026-07-13 20:44:59.999000072+00:00,WLDUSDT,-2.2,STOP,0.44583839482938725
V16,TRAIN,2026-07-14 04:14:59.999000072+00:00,ZENUSDT,3.8,TARGET,0.45862298187897443
V16,TRAIN,2026-07-14 20:14:59.999000072+00:00,ARKUSDT,-1.0379888268156388,TIME,0.5370543600502357
V16,TRAIN,2026-07-15 08:29:59.999000072+00:00,XLMUSDT,3.8,TARGET,0.5621630012911045
V16,TRAIN,2026-07-15 16:29:59.999000072+00:00,XLMUSDT,-0.3067805659370036,TIME,0.462939789990177
V16,TRAIN,2026-07-19 04:29:59.999000072+00:00,HBARUSDT,-0.25992509363295097,TIME,0.6290629618288603
V16,TRAIN,2026-07-19 16:29:59.999000072+00:00,HBARUSDT,-1.1593764053365316,TIME,0.4514669251853373
V16,TRAIN,2026-07-20 20:29:59.999000072+00:00,OPUSDT,3.8,TARGET,0.4562806338828894
V16,CAL,2026-07-22 04:14:59.999000072+00:00,ZROUSDT,3.8,TARGET,0.7280250653446456
V16,CAL,2026-07-22 16:44:59.999000072+00:00,ZROUSDT,-1.4165450121654375,RESCUE,0.4792337706482833
V16,CAL,2026-07-23 04:14:59.999000072+00:00,ZROUSDT,0.046913580246910225,TIME,0.48501579691558383
V16,CAL,2026-07-25 04:14:59.999000072+00:00,BCHUSDT,-0.7213270142180093,TIME,0.4437327734002337
V16,CAL,2026-07-25 16:14:59.999000072+00:00,RAYUSDT,0.5496012759170779,TIME,0.5293163775496837
V16,CAL,2026-07-26 04:29:59.999000072+00:00,WLDUSDT,2.779737783075098,TIME,0.4867791298996918
